row_names;Corrected_provenance;area;Resist_2_years_2002;Recovery_2_years_2002;Resilience_2_years_2002;Rel.resil_2_years_2002;Resist_mean_3_drought;Recovery_mean_3_drought;Resilience_mean_3_drought;Rel.resil_mean_3_drought;avg_density;avg_double_cell_wall_thickness;lumen_diameter_radial;avg_lumen_diameter;CWR_radial_fois_100;avg_CWR_100;coef_BAI_july_GAMM;coef_wood_density_GAMM;coef_lumen_radial_diameter_GAMM;coef_CWRr_GAMM;coef_BAI_august_GAMM;coef_BAI_sep_GAMM;;coef_BAI_july_dplR;coef_CWRr_dplR;coef_lumen_radial_diameter_dplR;coef_wood_density_dplR
21;21;842.364523281596;0.692195121951219;1.18926829268293;0.82170731707317;0.129512195121951;0.808780487804878;1.38227642276423;1.12544715447154;0.316788617886179;436.966297117517;4.40412416851441;24.7923281596452;24.0099223946785;3.2879464961796;3.49267463836364;0.812248800942409;-0.069196234202339;0.676588366358457;-0.318958407909966;0.415931236752376;0.478260472458816;;0.774630442071682;-0.584549709389153;0.709077890143171;-0.44403015827145
22;22;831.653747228381;0.694390243902439;1.1855;0.82475;0.12775;0.842479674796748;1.3959756097561;1.19243902439024;0.342235772357724;421.541064301552;4.08265898004434;24.0898643015521;23.2752689578714;2.9769223444082;3.1856842792592;0.795243484296426;-0.352568998487382;0.604165789198694;-0.350913350594955;0.500683086279797;0.576302824037572;;0.663931129584386;-0.516786806244867;0.696178519877763;-0.456302263377894
23;23;898.037636363637;0.7228;1.22208333333333;0.879166666666667;0.145833333333333;0.843066666666667;1.4108;1.19673333333333;0.339;411.645490909091;4.11346036363636;25.1833941818182;24.2743632727273;2.76140047244327;2.97229294398564;0.752034723287487;-0.395307665932037;0.600711002284864;-0.445310871713488;0.375700167806527;0.440072352294526;;0.667107174208002;-0.596371004414277;0.673468692780108;-0.515499696457873
24;24;888.549714285714;0.724285714285714;1.25057142857143;0.900857142857143;0.177142857142857;0.81847619047619;1.44233333333333;1.186;0.364047619047619;396.253272727273;3.95925662337662;25.8329277922078;24.5113602597403;2.43888612302779;2.71609492195247;0.81626772480077;-0.511608687488428;0.666207312992852;-0.355933561952812;0.563323502679024;0.593259418290323;;0.642573673139707;-0.629437916784575;0.722228336558753;-0.532957304539651
25;25;504.092895622896;0.6675;0.938529411764706;0.602352941176471;-0.0714705882352941;0.820185185185185;1.18638888888889;0.998194444444445;0.153796296296296;463.892845117845;4.40418232323232;22.4875920875421;22.1444835016835;4.09571855510039;4.1660363673792;0.6443221192026;-0.440337677981262;0.603710567843268;-0.136713357272775;0.447056140139076;0.664848355596226;;0.517413343571805;-0.576072215034049;0.729031942447422;-0.472240427813408
26;26;823.721369318182;0.713;1.15461538461538;0.821025641025641;0.103076923076923;0.840916666666667;1.37770833333333;1.165625;0.318625;410.774;4.03357920454546;24.9883963636364;23.8980889772727;2.72609047077812;2.96123159039406;0.738435432675372;-0.136087553693022;0.747019258547012;-0.298279858372242;0.406118375938828;0.488203124318316;;0.607620271362578;-0.564597325150004;0.723822633003386;-0.424518629251655
27;27;769.457936117936;0.723513513513514;1.22756756756757;0.886216216216216;0.162432432432432;0.835990990990991;1.44671171171171;1.22135135135135;0.378693693693694;412.160982800983;3.96345749385749;24.2971027027027;23.353884029484;2.77646108369287;2.99018579249484;0.778847111352764;-0.161753534346195;0.594409036560827;-0.341236755788309;0.499130191259635;0.528912117122234;;0.603024576765351;-0.518392878553885;0.622094524988416;-0.265222317115626
28;28;683.530658194851;0.718387096774194;1.07964285714286;0.79;0.0571428571428571;0.890322580645161;1.33021505376344;1.18059139784946;0.272956989247312;421.037233626588;4.14853789507983;23.8725592049527;23.7275913000977;3.16892628600909;3.18150692948912;0.691859276423132;-0.413000123431887;0.73268123668326;-0.445843534050387;0.562273405914307;0.660455783214467;;0.68161006601825;-0.652192318870054;0.732231341160493;-0.535454959091962
29;29;542.80243902439;0.723658536585366;1.08585365853659;0.788048780487805;0.0639024390243902;0.867845528455285;1.34113821138211;1.18292682926829;0.315121951219512;434.541241685144;4.11313082039911;23.4015033259424;22.5740975609756;3.24282936445455;3.46223910962971;0.752638195002078;-0.184701355174638;0.628626883434415;-0.291042068841014;0.440948410369543;0.605179423295195;;0.663432550917496;-0.564176330992221;0.691267613263734;-0.439892249680973
30;30;805.942235872236;0.681891891891892;1.17305555555556;0.806666666666667;0.121388888888889;0.793738738738739;1.40135135135135;1.12342342342342;0.326396396396396;418.983587223587;4.10479557739558;24.7957597051597;23.7008223587224;2.86813451962727;3.12714527989816;0.765980173393727;-0.180414209849382;0.733085148616941;-0.5687432342563;0.47937081224861;0.591539054178726;;0.714642243213158;-0.642909433646686;0.720225705509805;-0.479080752284519
31;31;677.340303030303;0.696388888888889;1.03685714285714;0.730571428571428;0.0285714285714286;0.819351851851852;1.35777777777778;1.12935185185185;0.305555555555556;412.232803030303;4.05598686868687;24.6694752525252;23.8824335858586;2.83145994490278;3.00900667032689;0.735196532370184;-0.0484334833305125;0.622299480644314;-0.209492915308259;0.510726039044529;0.618232107227213;;0.729566817078818;-0.614608847709116;0.723353153544538;-0.534455997300306
32;32;773.006315789474;0.671052631578947;1.18631578947368;0.794473684210526;0.123421052631579;0.78640350877193;1.38078947368421;1.07407894736842;0.287631578947368;406.798373205742;3.93812248803828;24.49455215311;23.5612925837321;2.71473386952536;2.91341824905598;0.814708188143375;-0.0310995440397386;0.74799455352912;-0.56291638825711;0.537419869156171;0.618460953690837;;0.753391993002492;-0.655681153862578;0.662682584896172;-0.590838264596045
33;33;757.018585858586;0.647777777777778;1.26375;0.8328125;0.1678125;0.841944444444444;1.38240740740741;1.20199074074074;0.329259259259259;411.607763748597;4.06622227833894;24.7230007856341;23.9170357182941;2.79454128664647;2.98275128985567;0.755360592910087;0.231185550498225;0.629770952940468;-0.439719853022605;0.643100522032539;0.757284708834848;;0.587293044752035;-0.548686834586906;0.652329108167536;-0.390032075576455
34;34;851.251967703349;0.722631578947369;1.20555555555556;0.874444444444445;0.149444444444444;0.864780701754386;1.43679824561403;1.31276315789474;0.424078947368421;394.062858851675;3.86122978468899;25.1450716507177;24.1042773923445;2.46503158285604;2.67926923213074;0.802524072330451;-0.201125482991579;0.614035233089078;-0.526907959151311;0.459629467806368;0.509226382834433;;0.71707721305183;-0.569946316072431;0.670459004154409;-0.452962743824132
35;35;667.544318181818;0.67275;1.136;0.746;0.07125;0.794958333333333;1.34470833333333;1.06441666666667;0.271083333333333;420.573409090909;4.19051363636364;24.4544181818182;24.0230772727273;3.06580859117955;3.15661858086591;0.769819055591377;-0.0260969206894761;0.647896100073258;-0.298259442919258;0.474658584103956;0.587407821138171;;0.699624783346419;-0.585578831047809;0.736381478251041;-0.439982870807561
36;36;788.637207792208;0.682857142857143;1.20735294117647;0.825;0.138235294117647;0.812333333333334;1.42995238095238;1.17514285714286;0.35852380952381;408.125227272727;3.9149;24.1457103896104;23.3443662337662;2.74275519513766;2.91338266969838;0.799194267322012;-0.114384941443804;0.529612181760316;-0.498167068121763;0.57013044393933;0.643389735756977;;0.649411484638964;-0.529000894038208;0.695976470604053;-0.221519727095642
37;37;632.031161616161;0.696111111111111;1.02571428571429;0.707428571428572;0.0245714285714286;0.858657407407407;1.28851851851852;1.14662037037037;0.269861111111111;400.238787878788;3.75923181818182;23.7121419191919;22.8883919191919;2.65220783135707;2.82563048804482;0.745590149578071;0.141651596654161;0.417991097344029;-0.160395205801195;0.502044723369628;0.59954677246899;;0.614631957825946;-0.487986515525504;0.64734590991056;-0.273607618189385
38;38;706.454278074866;0.715882352941176;1.07645161290323;0.774516129032258;0.0593548387096774;0.823774509803922;1.41039215686275;1.1903431372549;0.358039215686274;414.599812834225;4.03671657754011;24.4049919786096;23.6292660427808;2.8495887885639;3.03012222099733;0.753936982239189;-0.0572740756624138;0.602448083513618;-0.333309920476693;0.563076754356584;0.665686797119528;;0.677995263652688;-0.608800432702225;0.675629488500976;-0.480766636572528
39;39;753.205664755665;0.666388888888889;1.13628571428571;0.755882352941176;0.0870588235294118;0.782252252252252;1.39459459459459;1.13301801801802;0.332342342342342;403.703363363363;3.96825432705433;24.6240134862135;23.9746791973792;2.73967859152318;2.8697611762165;0.725082929094803;-0.205769044912073;0.537050821196998;-0.431131747184833;0.551033057643543;0.629157510141707;;0.691849096186002;-0.64871647177288;0.707592426443355;-0.500494742691394
40;40;759.311889952153;0.707368421052632;1.18777777777778;0.84;0.128888888888889;0.822631578947368;1.45065789473684;1.20578947368421;0.372543859649123;409.99956937799;4.03072009569378;24.6385669856459;23.8851531100478;2.76712567597105;2.93343153546077;0.78278483990823;-0.404681741472762;0.704724007858282;-0.240002516400158;0.563604373952968;0.635217019249406;;0.712180100544576;-0.557637247916917;0.730797601071714;-0.394850500277249
41;41;832.869385749386;0.683243243243243;1.07722222222222;0.7475;0.0563888888888889;0.828063063063063;1.3922972972973;1.18387387387387;0.351891891891892;408.426443488943;3.99512788697789;24.8463555282555;23.8461555896806;2.68825358619797;2.92042638678523;0.815865930704528;-0.0899997381834156;0.589096518324988;-0.430935055353112;0.4281140441323;0.524144215205217;;0.745948320086044;-0.679442737532264;0.706148941789749;-0.588129460790093
42;42;1006.49705159705;0.671621621621622;1.22135135135135;0.817837837837838;0.146486486486486;0.799504504504504;1.40671171171171;1.13184684684685;0.332432432432432;410.199754299754;4.08963636363636;25.3098230958231;24.2382506142506;2.73724252789189;2.96742956478133;0.791203895439092;-0.129421918599232;0.63960642194967;-0.426862399147917;0.474779410083318;0.54664826447284;;0.656448650293639;-0.681439490433623;0.700131128873418;-0.619011395661494
43;43;619.254217171717;0.691388888888889;0.981714285714286;0.664285714285714;-0.0277142857142857;0.851620370370371;1.26513888888889;1.13361111111111;0.271666666666667;410.911111111111;3.99703131313131;24.4006606060606;23.6201858585859;2.81932028103258;2.9848523376851;0.652506385800222;-0.020968256802855;0.56077969534202;-0.156974085309222;0.450072356565587;0.604613598460714;;0.67376108703518;-0.521679564300855;0.597442411632601;-0.282843673431977
